Team number, Team name                                                  , Epa   , Auto EPA, Teleop EPA, Energized, Supercharged, Transition, First Shift, Second Shift, Endgame, Win Rate, Wins, Losses
        581, Blazing Bulldogs                                           , 251.25,    56.6 ,     126.54,    0.686 , 0.5444      , 19.95     ,       51.07,        55.52,   68.51,   0.7121,   47,     19
       5468, Chaos Theory                                               , 188.42,    31.58,     103.99,    0.5276, 0.2252      , 7.66      ,       52.2 ,        44.13,   51.94,   0.8065,   50,     12
       4499, The Highlanders                                            , 230.05,    52.48,     119.83,    0.7282, 0.1716      , 15.95     ,       60.23,        43.65,   58.39,   0.8462,   55,     10
       1771, North Gwinnett Robotics                                    , 186.88,    49.73,     106.43,    0.6939, 0.1904      , 15.07     ,       54.58,        36.78,   29.82,   0.7969,   51,     13
       2122, Team Tators                                                , 227.46,    55.0 ,     115.17,    0.7667, 0.2419      , 14.3      ,       48.83,        52.04,   56.91,   0.8279,   50,     10
       6002, ZooBOTix                                                   , 212.84,    48.11,     108.16,    0.6876, 0.3789      , 10.98     ,       46.81,        50.36,   56.71,   0.7326,   63,     23
       6090, Wayland Wildcats                                           , 208.64,    47.33,      97.72,    0.5069, 0.4128      , 13.02     ,       45.53,        39.17,   63.56,   0.7727,   51,     15
       4028, The Beak Squad                                             , 203.93,    43.11,     108.28,    0.4712, 0.4171      , 12.36     ,       51.43,        44.49,   52.48,   0.7381,   31,     11
        195, CyberKnights                                               , 205.96,    43.09,     119.11,    0.4623, 0.4838      , 13.1      ,       58.47,        47.54,   44.19,   0.6791,   45,     21
       5000, HAMMERHEADS                                                , 235.76,    46.01,     128.39,    0.6616, 0.4795      , 14.75     ,       59.24,        54.4 ,   61.49,   0.6406,   41,     23
       2767, Stryke Force                                               , 186.21,    49.75,      99.13,    0.5964, 0.4655      , 9.44      ,       47.12,        42.58,   37.73,   0.8209,   55,     12
       1918, Newaygo County GEARS                                       , 204.02,    33.79,     121.83,    0.7313, 0.5882      , 12.91     ,       54.45,        54.46,   49.6 ,   0.7755,   38,     11
       4237, Team Lance-A-Bot                                           , 202.59,    39.99,     121.33,    0.6093, 0.3931      , 16.3      ,       56.95,        48.07,   41.0 ,   0.7647,   52,     16
       3015, Ranger Robotics                                            , 205.35,    35.61,     116.17,    0.6351, 0.1905      , 14.14     ,       55.42,        46.61,   53.82,   0.7963,   43,     11
        604, Quixilver                                                  , 222.44,    43.19,     123.81,    0.6434, 0.4272      , 5.47      ,       63.68,        54.67,   55.38,   0.746 ,   47,     16
       1241, THEORY6                                                    , 228.64,    43.13,     121.0 ,    0.6082, 0.4728      , 19.12     ,       52.48,        49.39,   64.91,   0.7721,   52,     15
       3045, Gear Gremlins                                              , 213.71,    48.43,     114.2 ,    0.6028, 0.3997      , 18.66     ,       51.89,        43.65,   51.15,   0.6825,   43,     20
       8214, Cyber Unicorn                                              , 217.05,    57.92,     111.58,    0.4541, 0.4137      , 11.08     ,       52.57,        47.93,   47.16,   0.6667,   16,      8
        695, Bison Robotics                                             , 215.94,    44.53,     114.11,    0.7343, 0.1634      , 15.23     ,       55.25,        43.63,   57.49,   0.6984,   44,     19
       4635, PrepaTec - Botbusters                                      , 178.74,    42.68,      97.1 ,    0.5478, 0.1642      , 16.41     ,       51.81,        28.89,   38.16,   0.8889,   48,      6
       2905, Sultans of Turkiye                                         , 184.33,    37.22,     107.91,    0.5794, 0.0025      , 11.23     ,       51.98,        44.7 ,   38.9 ,   0.7442,   32,     11
       3006, Red Rock Robotics                                          , 175.67,    38.9 ,      95.34,    0.3237, 0.128       , 12.57     ,       46.98,        35.79,   41.3 ,   0.7619,   32,     10
       5813, Morpheus                                                   , 204.9 ,    32.71,     122.97,    0.6809, 0.2771      , 18.23     ,       54.2 ,        50.53,   49.58,   0.6694,   41,     20
        118, Robonauts                                                  , 182.35,    28.22,     101.34,    0.6662, 0.2542      , 13.66     ,       45.79,        41.88,   46.06,   0.8939,  118,     14
       1538, The Holy Cows                                              , 140.04,    32.03,      73.53,    0.3495, 0.1711      , 6.86      ,       33.46,        33.2 ,   34.16,   0.6393,   39,     22
       7520, Team MineKee                                               , 178.34,    25.51,     104.86,    0.3946, 0.2046      , 8.51      ,       46.5 ,        49.85,   46.45,   0.5833,   35,     25
        610, Crescent Coyotes                                           , 196.02,    35.85,     109.95,    0.6367, 0.2675      , 10.31     ,       44.94,        54.7 ,   50.02,   0.6923,   45,     20
        955, Ctrl C                                                     , 157.43,    39.86,      80.51,    0.3924, 0.1947      , 6.95      ,       43.73,        29.84,   36.55,   0.6641,   42,     21
       2067, Apple Pi                                                   , 164.09,    42.37,      89.34,    0.4712, 0.1168      , 15.14     ,       43.05,        31.14,   32.24,   0.6833,   41,     19
        238, Crusaders                                                  , 189.7 ,    28.5 ,     107.3 ,    0.4545, 0.385       , 8.44      ,       50.84,        48.03,   54.21,   0.7656,   49,     15
       7457, suPURDUEper Robotics                                       , 213.65,    52.59,     122.12,    0.5677, 0.4521      , 16.47     ,       54.78,        50.88,   38.76,   0.8193,   68,     15
       4469, R.A.I.D. (Raider Artificial Intelligence Division)         , 219.06,    33.11,     123.03,    0.4914, 0.3871      , 15.24     ,       56.56,        51.23,   62.49,   0.661 ,   39,     20
        449, The Blair Robot Project                                    , 191.85,    42.44,     105.23,    0.6468, 0.4938      , 14.33     ,       51.2 ,        39.7 ,   44.07,   0.7656,   49,     15
       2137, The Oxford RoboCats                                        , 171.42,    45.98,      78.86,    0.6572, 0.3139      , -1.67     ,       44.86,        35.67,   46.86,   0.75  ,   48,     16
